is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,full_name
false,false,false,false,false,false,anupam.acrylic.ColorPickerDialog$1
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$1
false,false,false,false,false,false,org.bottiger.podcast.utils.PaletteHelper$1$1
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$4
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$5
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$2
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogPlaylistContent$3
false,false,false,false,false,false,org.bottiger.podcast.Player.LegacyRemoteController$1
false,false,false,false,false,false,org.bottiger.podcast.utils.FragmentUtils$1
false,false,false,false,false,false,org.bottiger.podcast.FragmentContainerActivity$2
false,false,false,false,false,false,org.bottiger.podcast.FragmentContainerActivity$1
false,false,false,false,false,false,org.bottiger.podcast.Player.SoundWavesPlayer$3
false,false,false,false,false,false,org.bottiger.podcast.Player.SoundWavesPlayer$4
false,false,false,false,false,false,org.bottiger.podcast.Player.SoundWavesPlayer$1
false,false,false,false,false,false,org.bottiger.podcast.Player.SoundWavesPlayer$2
false,false,false,false,false,false,org.bottiger.podcast.adapters.PlaylistAdapter$2
false,false,false,false,false,false,org.bottiger.podcast.adapters.PlaylistAdapter$1
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogSearchDirectory$1
false,false,false,false,false,false,org.bottiger.podcast.ToolbarActivity$1
false,false,false,false,false,false,org.bottiger.podcast.ToolbarPreference$1
false,false,false,false,false,false,org.bottiger.podcast.adapters.SubscriptionGridCursorAdapter$1
false,false,false,false,false,false,org.bottiger.podcast.adapters.SubscriptionGridCursorAdapter$2
false,false,false,false,false,false,org.bottiger.podcast.views.FeedViewQueueButton$1
false,false,false,false,false,false,org.bottiger.podcast.provider.Subscription$1
false,false,false,false,false,false,org.bottiger.podcast.service.Downloader.SubscriptionRefreshManager$1
false,false,false,false,false,false,org.bottiger.podcast.service.Downloader.SubscriptionRefreshManager$2
false,false,false,false,false,false,org.bottiger.podcast.playlist.GenericSubscriptionLoader$1
false,false,false,false,false,false,org.bottiger.podcast.views.PlayerSeekbar$1
false,false,false,false,false,false,org.bottiger.podcast.Player.PlayerStateManager$1
false,false,false,false,false,false,org.bottiger.podcast.service.Downloader.engines.OkHttpDownloader$1
false,false,false,false,false,false,org.bottiger.podcast.SubscriptionsFragment$3
false,false,false,false,false,false,org.bottiger.podcast.SubscriptionsFragment$2
false,false,false,false,false,false,org.bottiger.podcast.SubscriptionsFragment$1
false,false,false,false,false,false,org.bottiger.podcast.SubscriptionsFragment$4
false,false,false,false,false,false,org.bottiger.podcast.FeedActivity$4
false,false,false,false,false,false,org.bottiger.podcast.FeedActivity$3
false,false,false,false,false,false,org.bottiger.podcast.FeedActivity$2
false,false,false,false,false,false,org.bottiger.podcast.FeedActivity$1
false,false,false,false,false,false,org.bottiger.podcast.FeedActivity$7
false,false,false,false,false,false,org.bottiger.podcast.FeedActivity$6
false,false,false,false,false,false,org.bottiger.podcast.FeedActivity$5
false,false,false,false,false,false,org.bottiger.podcast.PodcastSubscriberActivity$1
false,false,false,false,false,false,org.bottiger.podcast.utils.OPMLImportExport$1
false,false,false,false,false,false,org.bottiger.podcast.playlist.ReorderCursor$1
false,false,false,false,false,false,org.bottiger.podcast.playlist.GenericCursorLoader$1
false,false,false,false,false,false,org.bottiger.podcast.playlist.GenericCursorLoader$2
false,false,false,false,false,false,org.bottiger.podcast.views.DownloadButtonView$1
false,false,false,false,false,false,org.bottiger.podcast.fetcher.StreamDownloader$1
false,false,false,false,false,false,org.bottiger.podcast.MainActivity$1
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogOPML$1
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogOPML$2
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogOPML$3
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogOPML$4
false,false,false,false,false,false,org.bottiger.podcast.SettingsActivity$1
false,false,false,false,false,false,org.bottiger.podcast.utils.navdrawer.NavigationDrawerMenuGenerator$2
false,false,false,false,false,false,org.bottiger.podcast.utils.navdrawer.NavigationDrawerMenuGenerator$1
false,false,false,false,false,false,org.bottiger.podcast.adapters.DiscoverySearchAdapter$3
false,false,false,false,false,false,org.bottiger.podcast.adapters.DiscoverySearchAdapter$2
false,false,false,false,false,false,org.bottiger.podcast.adapters.DiscoverySearchAdapter$1
false,false,false,false,false,false,org.bottiger.podcast.DiscoveryFeedActivity$1
false,false,false,false,false,false,org.bottiger.podcast.service.PlayerService$1
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$1
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$2
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$3
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$4
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$5
false,false,false,false,false,false,org.bottiger.podcast.views.dialogs.DialogBulkDownload$6
false,false,false,false,false,false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$1
false,false,false,false,false,false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$3
false,false,false,false,false,false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$5
false,false,false,false,false,false,org.bottiger.podcast.views.MultiShrink.feed.MultiShrinkScroller$4
false,false,false,false,false,false,org.bottiger.podcast.DrawerActivity$1
