is_static,is_enum,uses_variables,call_method,is_interface,is_local_class,call_external_method,full_name
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.AddCustomCoinActivity$android.view.View$OnClickListener2
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.AddCustomCoinActivity$GetCoinDataTask
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.AddNewPortfolioItemActivity$android.text.TextWatcher1
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.AddNewPortfolioItemActivity$android.text.TextWatcher2
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.AddNewPortfolioItemActivity$android.view.View$OnClickListener3
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.AddNewPortfolioItemActivity$android.view.View$OnClickListener4
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.AddNewPortfolioItemActivity$java.lang.Thread5
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.EditCustomCoinActivity$java.lang.Thread1
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.EditCustomCoinActivity$android.view.View$OnClickListener1
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.EditCustomCoinActivity$android.view.View$OnClickListener2
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.EditPortfolioItemActivity$android.text.TextWatcher1
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.EditPortfolioItemActivity$android.text.TextWatcher2
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.EditPortfolioItemActivity$android.view.View$OnClickListener3
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.EditPortfolioItemActivity$android.view.View$OnClickListener4
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.EditPortfolioItemActivity$android.view.View$OnClickListener5
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.EditPortfolioItemActivity$java.lang.Thread6
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.LoadingActivity$java.lang.Thread1
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.LoadingActivity$android.view.View$OnClickListener2
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.MainActivity$android.view.View$OnClickListener3
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.MainActivity$android.widget.AdapterView$OnItemClickListener4
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.MainActivity$android.widget.AdapterView$OnItemLongClickListener5
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.MainActivity$java.util.Comparator6
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.MainActivity$PortfolioAdapter
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.ManageCustomCoinsActivity$android.view.View$OnClickListener1
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.ManageCustomCoinsActivity$android.widget.AdapterView$OnItemClickListener2
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.ManageCustomCoinsActivity$CustomCoinsListAdapter
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.SettingsActivity$android.view.View$OnClickListener1
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.SettingsActivity$android.view.View$OnClickListener2
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.SettingsActivity$android.view.View$OnClickListener3
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.SettingsActivity$android.view.View$OnClickListener4
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.SettingsActivity$android.text.TextWatcher5
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.SettingsActivity$android.view.View$OnClickListener6
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.SettingsActivity$android.view.View$OnClickListener7
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.SettingsActivity$java.lang.Thread8
false,false,false,false,false,false,true,eu.uwot.fabio.altcoinprices.activities.SettingsActivity$android.view.View$OnClickListener8
true,false,false,false,false,false,true,afzkl.development.colorpickerview.preference.ColorPickerPreference$SavedState
true,false,false,false,false,false,true,com.viewpagerindicator.CirclePageIndicator$SavedState
true,false,false,false,false,false,true,com.viewpagerindicator.LinePageIndicator$SavedState
false,false,false,false,false,false,true,com.viewpagerindicator.TabPageIndicator$com.viewpagerindicator.OnClickListener1
false,false,false,false,false,false,true,com.viewpagerindicator.TabPageIndicator$java.lang.Runnable2
false,false,false,false,false,false,true,com.viewpagerindicator.TabPageIndicator$TabView
false,true,false,false,false,false,false,com.viewpagerindicator.TitlePageIndicator$IndicatorStyle
true,false,false,false,false,false,true,com.viewpagerindicator.TitlePageIndicator$SavedState
false,false,false,false,false,false,true,com.viewpagerindicator.UnderlinePageIndicator$java.lang.Runnable1
false,false,false,false,false,false,true,com.viewpagerindicator.UnderlinePageIndicator$java.lang.Runnable2
true,false,false,false,false,false,false,com.viewpagerindicator.UnderlinePageIndicator$com.viewpagerindicator.CreatorSavedState
true,false,false,false,false,false,true,com.viewpagerindicator.UnderlinePageIndicator$SavedState
false,false,false,false,false,false,true,de.duenndns.ssl.MemorizingTrustManager$java.lang.Runnable1
false,false,false,false,false,false,true,de.duenndns.ssl.MemorizingTrustManager$MemorizingHostnameVerifier
false,false,false,false,false,false,true,indrora.atomic.activity.ConversationActivity$android.view.View.OnKeyListener1
false,false,false,false,false,false,true,indrora.atomic.activity.ConversationActivity$android.view.View$OnTouchListener4
false,false,false,false,false,false,true,indrora.atomic.activity.ConversationActivity$android.content.DialogInterface.OnClickListener6
false,false,false,false,false,false,true,indrora.atomic.activity.ConversationActivity$android.content.DialogInterface.OnClickListener6
false,false,false,false,false,false,true,indrora.atomic.activity.ConversationActivity$android.content.DialogInterface.OnClickListener7
false,false,false,false,false,false,true,indrora.atomic.activity.ConversationActivity$android.content.DialogInterface$OnClickListener8
false,false,false,false,false,false,true,indrora.atomic.activity.ConversationActivity$android.content.DialogInterface.OnClickListener10
false,false,false,false,false,false,true,indrora.atomic.activity.ConversationActivity$java.lang.Runnable11
false,false,false,false,false,false,true,indrora.atomic.activity.ForgetCertificatesActivity$android.content.DialogInterface.OnClickListener1
false,false,false,false,false,false,true,indrora.atomic.activity.ForgetCertificatesActivity$android.content.DialogInterface.OnClickListener2
false,false,false,false,false,false,true,indrora.atomic.dialog.AddAliasView$android.content.DialogInterface$OnClickListener1
false,false,false,false,false,false,true,indrora.atomic.dialog.AddChannelView$android.content.DialogInterface$OnClickListener1
false,false,false,false,false,false,true,indrora.atomic.dialog.CommandListView$android.widget.TextView$OnEditorActionListener1
false,false,false,false,false,false,true,indrora.atomic.dialog.CommandListView$android.content.DialogInterface$OnClickListener2
